timestamp,sensor,value,unit,status
2026-04-27T22:01:01,COMM_SIGNAL_STRENGTH,-126.71,dBm,SIMULATED
2026-04-27T22:01:01,COMM_SIGNAL_STRENGTH,-124.0,dBm,SIMULATED
2026-04-27T22:01:01,COMM_SIGNAL_STRENGTH,-124.34,dBm,SIMULATED
2026-04-27T22:01:01,COMM_SIGNAL_STRENGTH,-140.0,dBm,SIMULATED
2026-04-27T22:01:01,COMM_SIGNAL_STRENGTH,-123.97,dBm,SIMULATED
2026-04-27T22:01:01,COMM_SIGNAL_STRENGTH,-123.43,dBm,SIMULATED
2026-04-27T22:01:01,COMM_SIGNAL_STRENGTH,-125.8,dBm,SIMULATED
2026-04-27T22:01:01,COMM_SIGNAL_STRENGTH,-124.24,dBm,SIMULATED
2026-04-27T22:01:01,COMM_SIGNAL_STRENGTH,-123.74,dBm,SIMULATED
2026-04-27T22:01:01,COMM_SIGNAL_STRENGTH,-125.95,dBm,SIMULATED
